16:29:21.275 [main] INFO  c.b.w.WhatsAppChatbotApplication - Starting WhatsAppChatbotApplication using Java 23 with PID 8300 (C:\Users\prata\Desktop\whatsApp-Chatbot\whatsApp-Chatbot\target\classes started by prata in C:\Users\prata\Desktop\whatsApp-Chatbot)
16:29:21.280 [main] DEBUG c.b.w.WhatsAppChatbotApplication - Running with Spring Boot v4.0.5, Spring v7.0.6
16:29:21.282 [main] INFO  c.b.w.WhatsAppChatbotApplication - No active profile set, falling back to 1 default profile: "default"
16:29:22.037 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.0.1.Final
16:29:23.469 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
16:29:23.490 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:29:23.495 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16:29:23.495 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.20]
16:29:23.568 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 2133 ms
16:29:24.241 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:29:24.276 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
16:29:24.283 [main] INFO  c.b.w.WhatsAppChatbotApplication - Started WhatsAppChatbotApplication in 3.771 seconds (process running for 5.117)
